,Name,Cusines,Dining_style,Phone number,Website,Location,Payment Options
276,"
Spiritland King's Cross
",Modern European,Casual Dining,+44 20 3319 0050,http://www.spiritland.com/,"
9-10 Stable Street, London, N1C 4AB
","AMEX, Mastercard, Visa"
277,"
Karri Twist
",Indian,Casual Dining,+44 20 8691 5169,http://www.karritwist.co.uk/,"
338 New Cross Road, London, SE14 6AG
","Mastercard, Visa"
278,"
MBER
","Asian, Tapas / Small Plates, Pan-Asian",Casual Elegant,+44 20 7608 6545,http://www.mber.london/,"
1a Pudding Lane, London, EC3R 8AB
","AMEX, Mastercard, Visa"
279,"
Bar20 at Birleys
","British, European",Casual Dining,+44 20 7929 1849,http://www.bar20.co.uk/,"
20 Fenchurch Street Pocket Park, London, EC3M 3BY
","AMEX, Diners Club, Mastercard, Visa"
280,"
Enoteca Turi
",Italian,Casual Elegant,+44 20 7730 3663,http://www.enotecaturi.com/index.html,"
87 Pimlico Road, London, SW1W 8PH
","AMEX, Mastercard, Visa"
281,"
Evans & Peel Detective Agency
","Cocktail bar, Tapas / Small Plates, Speakeasy",Casual Dining,+44 20 7370 5378,http://www.evansandpeel.com/,"
310C Earls Court Road, London, SW5 9BA
","AMEX, Diners Club, Mastercard, Visa"
282,"
Aquavit London
","Nordic, Contemporary European, International",Casual Elegant,+44 20 7024 9848,http://www.aquavitrestaurants.com/london,"
St James’s Market, 1 Carlton Street, London, SW1Y 4QQ
","AMEX, Cash not accepted, Mastercard, Visa"
283,"
SMOKESTAK
",Barbecue,Casual Dining,+44 20 3873 1733,http://smokestak.co.uk/,"
35 Sclater St, London, E1 6LB
","AMEX, Mastercard, Visa"
284,"
Sakagura
","Japanese, Sushi, Barbecue",Casual Dining,+44 20 3405 7230,http://www.sakaguralondon.com/,"
8 Heddon Street, London, W1B 4BS
","AMEX, JCB, Mastercard, Visa"
285,"
StreetXO
","International, Global, International, Asian",Casual Elegant,+44 20 3096 7555,http://www.streetxo.com/,"
15 Old Burlington Street, London, W1S 2JR
","AMEX, Mastercard, Visa"
286,"
George's Fish and Souvlaki Bar
","Greek, Seafood",Casual Dining,+44 20 8989 3970,http://www.georgesfishbar.co.uk/,"
164 Georges Lane, London, E18 1AY
","AMEX, Mastercard, Visa"
287,"
Signoria
",Italian,Casual Dining,+44 20 7564 3800,http://www.signoria.co.uk/home.html,"
53 Lordship Lane East Dulwich, London, SE22 8EP
","AMEX, Diners Club, Mastercard, Visa"
288,"
Melanzana
","Italian, Pizzeria",Casual Dining,+44 20 7228 5420,http://www.melanzana.co.uk/,"
140 Westbridge Road, London, SW11 3PF
","AMEX, Diners Club, Discover, JCB, Mastercard, Visa"
289,"
Sowa Restaurant & Patisserie
","Italian, Pizzeria",Casual Dining,+44 20 7228 5420,http://www.melanzana.co.uk/,"
32-33 High Street, London, W5 5DB
","Mastercard, Visa"
290,"
Lobos Meat & Tapas - Soho
","Spanish, Tapas / Small Plates",Casual Dining,+44 20 3019 5082,http://www.lobostapas.co.uk/,"
48 Frith Street, London, W1D 4SF
","AMEX, Mastercard"
291,"
Trio Pizzeria
",Italian,Casual Dining,+44 20 8835 8455,http://www.triopizzeria-uk.com/,"
19 The High Parade, London, SW16 1EX
","AMEX, Mastercard, Visa"
292,"
Cinnamon Bazaar
","Contemporary Indian, Vegetarian / Vegan, Afternoon Tea",Casual Elegant,+44 20 7395 1400,http://www.cinnamon-bazaar.com/,"
28 Maiden Lane, London, WC2E 7JS
","AMEX, Cash not accepted, JCB, Mastercard, Visa"
293,"
Babbo Restaurant
","Italian, Mediterranean",Fine Dining,+44 20 3889 0780,http://www.babborestaurant.co.uk/,"
39 Albermarle Street, London, W1S 4JQ
","AMEX, Mastercard, Visa"
294,"
Tootoomoo
","Pan-Asian, Chinese, Dim Sum",Casual Dining,+44 20 7704 6687,https://www.tootoomoo.co.uk/,"
278 St Pauls Road, London, N1 2LH
","AMEX, Mastercard, Visa"
295,"
The Ivy Soho Brasserie
","Contemporary British, British, Breakfast",Casual Elegant,+44 20 3301 1166,https://theivysohobrasserie.com/,"
26-28 Broadwick Street, London, W1F 8JB
","AMEX, Mastercard, Visa"
296,"
Booma
","Contemporary Indian, Indian, Bar / Lounge / Bottle Service",Casual Dining,+44 20 7737 4999,http://www.booma-brixton.co.uk/,"
244 Brixton Road, London, SW9 6AH
","AMEX, Mastercard, Visa"
297,"
Bacaro
",Italian,Casual Dining,+44 20 8980 0111,http://www.bacaro387.co.uk/,"
387 Roman Road, London, E3 5QR
","Mastercard, Visa"
298,"
Cabrera Steakhouse
","Steakhouse, South American",Casual Elegant,+44 20 8318 1888,http://www.cabreralondon.co.uk/,"
133 Burnt Ash Road, London, SE128RA
","AMEX, Mastercard, Visa"
299,"
Afternoon Tea at Aster Cafe
","Afternoon Tea, Contemporary French, Contemporary European",Casual Dining,+44 20 3875 5555,http://aster-restaurant.com/,"
150 Victoria Street, London, SW1E 5LB
","Mastercard, Visa"
300,"
Casa Tua King's Cross
","Italian, Breakfast, Mediterranean",Casual Dining,+44 20 7833 1483,http://www.casatualondon.com/,"
106-108 Cromer St, London, WC1H 8BZ
","Diners Club, Mastercard, Visa"
301,"
Rubio
","Pizzeria, Italian",Casual Dining,+44 20 8961 9630,http://www.rubio.co.uk/,"
43 Park Parade, London, NW10 4JD
","AMEX, Mastercard, Visa"
302,"
Con Gusto
",Italian,Fine Dining,+44 20 8465 7452,http://www.congusto.co.uk/,"
54 Number One Street Woolwich, London, SE18 6ST
","AMEX, Mastercard, Visa"
303,"
Bistro Mirey
","Bistro, French / Japanese, Comfort food",Casual Dining,+44 20 3092 6969,http://www.bistromirey.com/,"
98 Lillie Road, London, SW6 7SR
","AMEX, Mastercard, Visa"
304,"
Sichuan Chef
",Chinese (Sichuan),Casual Dining,+44 20 7244 7888,http://www.sichuanchef.co.uk/,"
15 Kenway Road, London, SW5 0RP
",Cash Only
305,"
The Lion
","Contemporary European, Pizzeria",Casual Dining,+44 20 7623 8468,http://lionec3.co.uk/,"
31 Houndstitch, London, EC3A 7DB
","AMEX, Mastercard, Visa"
306,"
Bayroot
","Lebanese, European",Casual Dining,+44 20 7998 4030,http://www.bayrootrestaurant.co.uk/,"
8 Camberwell Road, London, SE5 0EN
","Diners Club, Mastercard, Visa"
307,"
Hammer & Tongs
","Meat, Barbecue, Southern African",Casual Dining,+44 20 3774 2884,http://www.hammertongs.co.uk/,"
171 Farringdon Road, London, EC1R 3AL
","AMEX, Mastercard, Visa"
308,"
Marsha Soho
","Rotisserie Chicken, Burgers, British",Casual Dining,+44 20 3747 9820,https://www.marshalondon.co.uk/marsha-soho,"
Kingly Court Carnaby Street, London, W1B 5PW
","AMEX, Mastercard, Visa"
309,"
Santi Restaurant Pizzeria
",Italian,Casual Dining,+44 20 8555 2013,http://www.santirestaurant.com/,"
42-45 Victory Parade, London, E20 1FS
","AMEX, Mastercard, Visa"
310,"
Arthur Hooper's
","Contemporary European, British",Casual Dining,+44 20 7940 0169,http://arthurhoopers.co.uk/,"
8 Stoney Street, London, SE1 9AA
","Mastercard, Visa"
311,"
Le Relais de Venise - Soho (London)
","Steak, French, Steakhouse",Casual Dining,+44 20 3475 4202,http://www.relaisdevenise.com/,"
50 Dean St., London, W1D 5BQ
","AMEX, Mastercard, Visa"
312,"
Casa Tua Camden
","Italian, Breakfast",Casual Dining,+44 20 8127 0460,http://www.casatualondon.com/,"
176 Royal College Street, London, NW1 0SP
","Diners Club, Mastercard, Visa"
313,"
Aline Lebanese Kitchen
","Lebanese, Vegetarian / Vegan, Middle Eastern",Casual Dining,+44 20 7096 2119,http://www.alinelebanesekitchen.com/,"
14 Maddox Street, London, W1S 1PQ
","Mastercard, Visa"
314,"
Hawksmoor Borough
","Steakhouse, Wine Bar, British",Casual Elegant,+44 20 7234 9940,https://thehawksmoor.com/locations/borough/?y_source=1_MjQyMjUwMzEtODYwLWxvY2F0aW9uLndlYnNpdGU=,"
16 Winchester Walk, London, SE1 9AQ
","AMEX, Mastercard, Visa"
315,"
Boisdale of Mayfair
","British, Scottish, European",Casual Elegant,+44 20 3873 8888,https://www.boisdale.co.uk/mayfair/,"
12 North Row, London, W1K 7DF
","AMEX, Mastercard, Visa"
316,"
Sardine
","French, Mediterranean, European",Casual Dining,+44 20 7490 0144,http://www.sardine.london/,"
15 Micawber Street, London, N1 7TB
","AMEX, Mastercard, Visa"
317,"
Rail House Victoria
","Modern European, International, Pan-Asian",Casual Dining,+44 20 3906 7950,http://www.riding.house/restaurant/victoria#menus,"
8 Sir Simon Milton Square, London, SW1E 5DJ
","AMEX, Mastercard, Visa"
318,"
Pho Saigon
","Vietnamese, Asian, Southeast Asian",Casual Dining,+44 20 3659 8143,http://www.phosaigon.co.uk/,"
41 Bond Street, London, W5 5AS
","Mastercard, Visa"
319,"
L' Antipasto - Battersea
","Vietnamese, Asian, Southeast Asian",Casual Dining,+44 20 3659 8143,http://www.phosaigon.co.uk/,"
511 Battersea Park Road, London, SW11 3BW
","AMEX, Mastercard, Visa"
320,"
La Dame De Pic London
","French, French, Bar / Lounge / Bottle Service",Casual Elegant,+44 20 3297 9228,http://ladamedepiclondon.co.uk/,"
Four Seasons Hotel London at Ten Trinity Square, London, EC3N 4AJ
","AMEX, Diners Club, Mastercard, Visa"
321,"
Lena's
","Italian, Pizzeria",Casual Dining,+44 20 7622 2788,http://www.lenasbarandkitchen.co.uk/,"
39 Queenstown Road, London, SW8 3RE
","AMEX, Mastercard, Visa"
322,"
Yashin Ocean House
","Japanese, Japanese Speciality",Casual Dining,+44 20 7373 3990,http://www.yashinocean.com/,"
117 - 119 Old Brompton Road, London, SW7 3RN
","AMEX, JCB, Mastercard, Visa"
323,"
Busaba Bangkok Thai – St Christopher’s Place
",Thaï,Casual Dining,+44 20 7518 8080,http://www.busaba.com/,"
8-13 Bird Street, London, W1U 1BU
","Mastercard, Visa"
324,"
Harvester - The Mandeville Arms
",British,Home Style,+44 20 8422 2050,http://www.harvester.co.uk/restaurants/london/themandevillearmsnortholt,"
Mandeville Road, London, UB5 4LU
","AMEX, Diners Club, Mastercard, Visa"
325,"
Harvester - The Royal
",British,Home Style,+44 20 8567 3711,http://www.harvester.co.uk/restaurants/london/theroyallondon,"
Boston Road, London, W7 2AX
","AMEX, Diners Club, Mastercard, Visa"
326,"
Le Petit Sud
","French, Bistro, Wine Bar",Casual Dining,+44 20 7589 0030,http://www.lepetitsud.co.uk/,"
1D Palace Gate, London, W8 5LS
","AMEX, Mastercard, Visa"
327,"
Pho & Bun
","Asian, Vietnamese",Casual Dining,+44 20 3230 1086,http://vieteat.co.uk/pho-bun,"
76 Shaftesbury Avenue, London, W1D 6ND
","AMEX, Mastercard, Visa"
328,"
Viet Eat - Holborn
","Asian, Vietnamese",Casual Dining,+44 20 7404 4138,http://www.vieteat.co.uk/,"
48 Kingsway, London, WC2B 6EP
","AMEX, Diners Club, Mastercard, Visa"
329,"
Villa Toscana
",Italian,Casual Dining,+44 20 8692 3804,http://www.restaurantvillatoscana.co.uk/,"
179 Brockley Road, London, SE4 2RS
","Mastercard, Visa"
330,"
The Vault Bar & Lounge at The Ned – Previews
",Italian,Casual Dining,+44 20 3828 2000,http://www.thened.com/restaurants#,"
27 Poultry, London, EC2R 8AJ
","AMEX, Mastercard, Visa"
331,"
The Ivy City Garden
","Contemporary British, British, Breakfast",Casual Elegant,+44 20 3146 7744,https://theivycitygarden.com/,"
Dashwood House, 69 Old Broad Street, London, EC2M 1QS
","AMEX, Mastercard, Visa"
332,"
Mattarello Bolognese
","Italian, Contemporary European, Steak",Casual Dining,+44 20 7247 3354,http://www.sfogliabologna.uk/,"
3 Middlesex Street, London, E1 7AA
","AMEX, Diners Club, Discover, JCB, Mastercard, Visa"
333,"
The Old Bull & Bush
","Gastro Pub, English",Casual Dining,+44 20 8905 5456,https://www.thebullandbush.co.uk/,"
Elmwood North End Way, London, NW3 7HE
","Diners Club, Mastercard, Visa"
334,"
Chicken Society
",British,Casual Dining,+44 20 8349 1453,http://www.chickensociety.co.uk/,"
363 Regents Park Road, London, N3 1DH
","Mastercard, Visa"
335,"
Ritorno
","Italian, Bar / Lounge / Bottle Service, Comfort food",Casual Dining,+44 20 3301 6333,http://www.ritorno.co.uk/,"
442 King's Rd, London, SW10 0LQ
","AMEX, Mastercard, Visa"
336,"
Fountain Tap
",British,Casual Elegant,+44 20 7686 0010,http://www.fountaintap.co.uk/,"
14 Rivington Street, London, EC2A 3DU
","Mastercard, Visa"
337,"
Isabel Mayfair
","Mediterranean, European",Casual Elegant,+44 20 3096 9292,http://www.isabelw1.london/,"
26B Albemarle Street, London, W1S 4HY
","AMEX, Mastercard, Visa"
338,"
Boof Restaurant
","Persian, Halal",Casual Dining,+44 20 8567 5577,http://boofrestaurant.co.uk/,"
57 New Broadway Ealing, London, W55AH
","Mastercard, Visa"
339,"
Jashan
",Indian,Casual Dining,+44 20 8340 9880,http://www.jashan.co.uk/,"
19 Turnpike Lane, London, N8 0EP
","Mastercard, Visa"
340,"
Canada Water Cafe
","Italian, Pizzeria",Casual Dining,+44 20 3668 7518,http://www.canadawatercafe.com/,"
40 Surrey Quays Road, London, SE16 7DX
","AMEX, Mastercard, Visa"
341,"
Plough Way Cafe
",Italian,Casual Dining,+44 20 7237 1327,http://www.ploughwaycafe.com/,"
1 Seafarer Way, London, SE16 7EZ
","AMEX, Mastercard, Visa"
342,"
Gurkhas Diner
","Nepalese, Asian",Casual Dining,+44 20 8675 1188,http://gurkhasdiner.co.uk/,"
1 The Boulevard Balham High Road, London, SW17 7BW
","Mastercard, Visa"
343,"
Belgrave Restaurant
","Persian, Mediterranean, Halal",Casual Dining,+44 20 7624 4242,http://www.belgraverestaurant.com/index.html,"
1 Belgrave Gardens, London, NW8 0QY
","Mastercard, Visa"
344,"
La Rueda de Tapas
","Tapas / Small Plates, Spanish, Mediterranean",Casual Dining,+44 20 8567 4219,http://www.laruedadetapas.com/,"
12 Bond Street Ealing, London, W5 5AA
","AMEX, Mastercard, Visa"
345,"
Bread Street Kitchen & Bar — Southwark
","Modern European, Contemporary British, Cocktail bar",Casual Elegant,+44 20 7592 7977,http://www.gordonramsayrestaurants.com/bread-street-kitchen/southwark/,"
47-51 Great Suffolk Street, London, SE1 0BS
","AMEX, Mastercard, Visa"
346,"
COYA City
",Peruvian,Casual Elegant,+44 20 3907 0000,http://www.coyarestaurant.com/,"
31-33 Throgmorton Street, London, EC2N 2AT
","AMEX, Mastercard, Visa"
347,"
Farmacy
",English,Casual Dining,+44 20 7221 0705,http://www.farmacylondon.com/,"
74 Westbourne Grove, London, W2 5SH
","AMEX, Mastercard, Visa"
348,"
Sanjugo London
","Japanese, Sushi",Casual Elegant,+44 20 7613 3225,http://www.sanjugo.co.uk/,"
35 Scrutton Street, London, EC2A 4HU
","Mastercard, Visa"
349,"
Estrela Bar
","Portuguese, Tapas / Small Plates",Casual Dining,+44 20 7793 1051,http://estrelabar.com/,"
111 South Lambeth Road, London, SW8 1UZ
","AMEX, Mastercard, Visa"
350,"
Blacklock City
","Steak, Barbecue, British",Casual Dining,+44 20 7998 7676,http://theblacklock.com/,"
13 Philpot Lane, London, EC3M 8AA
","AMEX, Mastercard, Visa"
351,"
Locanda del Melo
",Italian,Casual Dining,+44 20 7403 7513,http://finefoodse1.co.uk/,"
218 Long Lane, London, SE1 4QB
","AMEX, Mastercard, Visa"
352,"
Tamarind Kitchen Soho
",Indian,Casual Dining,+44 20 7287 4243,http://www.tamarindkitchen.co.uk/,"
167-169 Wardour Street, London, W1F 8WR
","AMEX, Mastercard, Visa"
353,"
Small & Beautiful
","Italian, European, Modern European",Casual Dining,+44 20 7328 2637,http://www.smallandbeautiful.co.uk/,"
351 Kilburn High Road, London, NW6 7QB
","AMEX, Mastercard, Visa"
354,"
Comptoir Libanais - Poland Street
","Lebanese, Middle Eastern, Comfort food",Casual Dining,+44 20 7434 4335,http://www.comptoirlibanais.com/,"
52 Poland Street, London, W1F 7NQ
","AMEX, Mastercard, Visa"
355,"
Busaba Eathai - Leicester Square
","Thaï, Fusion / Eclectic",Casual Dining,+44 20 7930 0088,http://www.busaba.com/locations/busaba-leicester-square,"
35 Panton Street, London, SW1Y 4EA
","Mastercard, Visa"
356,"
Zheng Chelsea
","Chinese, Malaysian, Fusion / Eclectic",Casual Elegant,+44 20 7352 0957,http://www.zhengchelsea.co.uk/,"
4 Sydney Street, London, SW3 6PP
","AMEX, Mastercard, Visa"
357,"
Meet District
","Contemporary British, Steakhouse",Casual Dining,+44 20 7564 7215,http://www.meetdistrict.co.uk/,"
125 Queens Road Peckham, London, SE15 2ND
","AMEX, Mastercard, Visa"
358,"
The Little Square
","International, Modern European",Casual Dining,+44 20 7355 2101,http://www.thelittlesquare.co.uk/,"
3 Shepherd Market, London, W1J 7PB
","AMEX, Mastercard, Visa"
359,"
Kappa Sushi
",Sushi,Casual Dining,+44 20 7244 9196,http://www.kappasushi.co.uk/,"
139 Earls Court, London, SW5 9RH
","Mastercard, Visa"
360,"
Amjadia Indian Restaurant
","Indian, Halal",Casual Dining,+44 20 7935 0885,http://www.amjadia.co.uk/,"
15 Picton Place, London, W1U 1BW
","Mastercard, Visa"
361,"
Lokkum Bar & Grill
","Turkish, Steakhouse, Grill",Elegant Dining,+44 20 8220 1018,http://www.lokkum.co.uk/,"
Woodford New Road, London, E18 2QD
","AMEX, Mastercard, Visa"
362,"
Nobu Shoreditch
","Japanese, Sushi, Peruvian",Fine Dining,+44 20 7683 1200,https://london-shoreditch.nobuhotels.com/,"
10-50 Willow Street, London, EC2A 4BH
","AMEX, Mastercard, Visa"
363,"
Lupins
",British,Casual Dining,+44 20 3908 5888,http://www.lupinslondon.com/,"
66 Union Street, London, SE1 1TD
","AMEX, Mastercard, Visa"
364,"
33 Abbeville Road
",Contemporary British,Casual Dining,+44 20 8673 0977,http://www.33abbevilleroad.co.uk/,"
33 Abbeville Road, London, SW4 9LA
","Mastercard, Visa"
365,"
Pisqu
","Peruvian, Vegetarian / Vegan, Latin American",Casual Elegant,+44 20 7436 6123,http://www.pisqulondon.com/,"
23 Rathbone Place, London, W1T 1HZ
","AMEX, Mastercard, Visa"
366,"
Korova Restaurant
","Contemporary European, French",Casual Dining,+44 7931 903779,http://www.korovarestaurant.com/,"
9 Campdale Road, London, N7 0EA
","AMEX, Mastercard, Visa"
367,"
Ajanta Restaurant
",Indian,Casual Dining,+44 20 8743 5191,http://www.ajanta.london/,"
10-12 Goldhawk Road, London, W12 8DH
","AMEX, Mastercard, Visa"
368,"
Patri
",Indian,Casual Dining,+44 20 8743 5191,http://www.ajanta.london/,"
103 Hammersmith Grove, London, W6 0NQ
","AMEX, Mastercard, Visa"
369,"
The Grill Restaurant
",Grill,Casual Dining,+44 20 8996 5200,http://www.claytonhotelchiswick.com/,"
626 Chiswick High Road, London, W4 5RY
","AMEX, Mastercard, Visa"
370,"
The Pimlico Grid
","Breakfast, British, European",Casual Dining,+44 20 7834 5163,http://www.thepimlicogrid.com/,"
142-144 Warwick Way, London, SW1V 4JE
","AMEX, Mastercard, Visa"
371,"
Farang London
",Thaï,Casual Dining,+44 20 7226 1609,http://www.faranglondon.co.uk/,"
72 Highbury Park, London, N5 2XE
","Mastercard, Visa"
372,"
The Cork & Bottle - Paddington
","Contemporary European, Comfort food, British",Casual Dining,+44 20 7262 1485,http://www.thecorkandbottle.co.uk/paddington/,"
27 Spring Street, London, W2 1JA
","AMEX, Mastercard, Visa"
373,"
Nabrasa Express
",Brazilian Steakhouse,Casual Dining,+44 20 7377 1223,http://www.nabrasaexpress.com/,"
30 Osborn Street, London, E1 6TD
","Mastercard, Visa"
374,"
Burrito MEX
",Mexican,Casual Dining,+44 20 8355 4077,http://www.burritomex.co.uk/,"
368 Garrate Lane, London, SW18 4ES
","Mastercard, Visa"
375,"
Powderkeg
",Pizzeria,Casual Elegant,+44 20 7450 6457,http://powderkegdiplomacy.co.uk/,"
147 St. John's Hill, London, SW11 1TQ
","Mastercard, Visa"
376,"
Temakinho - Tower Bridge
","Sushi, Brazilian, Fusion / Eclectic",Casual Dining,+44 20 4580 1187,https://www.temakinho.co.uk/tower-bridge/,"
1 Tower Bridge, London, SE1 2SG
","AMEX, Mastercard, Visa"
377,"
Foley's Restaurant
","Asian, Thaï, Tapas / Small Plates",Casual Dining,+44 20 7636 4562,http://foleysrestaurant.co.uk/,"
23 Foley Street, London, W1W 6DU
","AMEX, Mastercard, Visa"
378,"
The Italian Job Chiswick
","Italian, Contemporary Italian, Pub",Casual Dining,+44 20 8994 2852,http://www.theitalianjobpub.co.uk/,"
13 Devonshire Road Chiswick, London, W4 2EU
","AMEX, Mastercard, Visa"
379,"
Champs Sports Bar & Grill- Ilford
",American,Casual Dining,+44 20 8553 5114,http://www.champsilford.co.uk/,"
19-21 Chapel Road, London, IG1 2AF
","AMEX, Diners Club, Mastercard, Visa"
380,"
Senor Ceviche - Charlotte Street
","Peruvian, Latin American, Tapas / Small Plates",Casual Dining,+44 20 7842 8540,http://www.senor-ceviche.com/,"
18 Charlotte Street, London, W1T 2LZ
","AMEX, Mastercard, Visa"
381,"
129HRD
",Modern European,Casual Dining,+44 20 3638 7322,http://www.129hrd.co.uk/,"
129 Holloway road, London, N7 8lt
","Mastercard, Visa"
382,"
Asiatique Restaurant
","Thaï, Pan-Asian",Casual Elegant,+44 20 8876 0644,http://www.asiatiquerestaurant.co.uk/,"
201 Upper Richmond Road West, London, SW14 8QT
","AMEX, Diners Club, Mastercard, Visa"
383,"
Frog by Adam Handling
","British, Contemporary British, Contemporary European",Casual Elegant,+44 20 7199 8370,http://www.frogbyadamhandling.com/,"
34-35 Southampton St, London, WC2E 7HG
","AMEX, Mastercard, Visa"
384,"
Kishmish Restaurant
","Persian, Mediterranean",Casual Dining,+44 20 8670 6969,http://kishmishrestaurant.co.uk/,"
Lower Ground Floor 13-14 Crystal Palace Parade, London, SE19 1UA
","AMEX, Diners Club, Mastercard, Visa"
385,"
Bistro Vadouvan
",Contemporary French,Casual Elegant,+44 20 3475 3776,http://www.bistrovadouvan.co.uk/,"
30 Brewhouse Lane Putney Wharf, Putney, London, SW15 2JX
","AMEX, Diners Club, Mastercard, Visa"
386,"
Fancy Crab
","Seafood, Burgers, International",Casual Dining,+44 20 3096 9484,http://www.fancycrab.co.uk/,"
92 Wigmore Street, London, W1U 3Rd
","AMEX, Mastercard, Visa"
387,"
Sushi Murasaki
","Sushi, Japanese, Creative Japanese",Fine Dining,+44 20 7289 0224,http://www.sushi-murasaki.co.uk/,"
12 Lauderdale Road, London, W9 1LU
","AMEX, Mastercard, Visa"
388,"
Patara - Wimbledon
","Thaï, Asian, Cocktail bar",Casual Dining,+44 20 3149 2911,http://www.pataralondon.com/,"
18 High Street, London, SW19 5DX
","AMEX, Mastercard, Visa"
389,"
Nippon Izakaya
","Japanese, Sushi",Casual Dining,+44 20 8343 9008,http://nipponizakaya.co.uk/,"
843 High Road, London, N12 8PT
","Mastercard, Visa"
390,"
Jamon Jamon
",Spanish,Casual Dining,+44 20 7284 0606,http://jamonjamon.uk.com/contact-us/,"
38 Parkway Camden, London, NW1 7AH
","Mastercard, Visa"
391,"
Riverside Fish and Steak House
","Seafood, Steak, Fish",Casual Dining,+44 1322 336460,https://www.riversidefishandsteakhouseerith.co.uk/,"
16 Town Square, London, DA8 1RE
","AMEX, Mastercard, Visa"
392,"
Sushi Bar Atariya
","Sushi, Japanese",Casual Dining,+44 20 7328 5338,http://www.sushibaratariya.co.uk/swiss-cottage.html,"
75 Fairfax Road, London, NW6 4EE
","Mastercard, Visa"
393,"
Symposium
",Italian,Casual Dining,+44 20 8981 8509,http://www.symposiumlondon.co.uk/,"
363 Roman Road, London, E3 5QR
","AMEX, Mastercard, Visa"
394,"
Comptoir Café and Wine
","Wine Bar, French",Casual Dining,+44 20 7499 9800,http://www.comptoir-cafe-and-wine.co.uk/,"
21-22 Weighhouse Street, London, W1K 5LY
","AMEX, Mastercard, Visa"
395,"
Camino Shoreditch
",Spanish,Casual Dining,+44 20 3948 5003,http://www.camino.uk.com/,"
2 Curtain Road, London, EC2A 3BL
","AMEX, Mastercard, Visa"
396,"
Maison Du Mezze - Leicester Square
","Lebanese, Middle Eastern, Mediterranean",Casual Dining,+44 20 3011 1114,http://maisondumezze.com/,"
14 Leicester Square, London, WC2H 7NG
","AMEX, Diners Club, Discover, Mastercard, Visa"
397,"
Amigos Mediterranean Restaurant
","Mediterranean, Spanish, Colombian",Home Style,+44 20 3489 4306,http://www.amigosmediterranean.com/,"
25-27 Bagshot Street, London, SE17 2QW
","AMEX, Mastercard, Visa"
398,"
The Wigmore
",Pub,Casual Dining,+44 20 7965 0198,http://www.the-wigmore.co.uk/,"
15 Langham Place Upper Regent Street, London, W1B 1JA
","AMEX, Mastercard, Visa"
399,"
Delamina
","Mediterranean, Middle Eastern, Home cooking",Casual Dining,+44 20 3026 6810,http://www.delaminamarylebone.co.uk/,"
56-58 Marylebone Lane, London, W1U 2NX
","AMEX, Diners Club, JCB, Mastercard, Visa"
400,"
Omnino Brazilian Barbecue
","Steak, South American, Latin American",Casual Dining,+44 20 3490 3132,http://www.omninorestaurants.com/,"
7-9 St Bride Street, London, EC4A 4AS
","AMEX, Mastercard, Visa"
401,"
Virundhu
","Asian, Sri Lankan",Casual Elegant,+44 20 8866 7500,http://virundhurestaurant.com/,"
113 Field End Road Pinner, London, HA5 1QG
","Mastercard, Visa"
402,"
VQ Aldgate
",International,Casual Dining,+44 20 3301 7224,https://www.vqrestaurants.com/locations/aldgate,"
9 Aldgate High St, London, EC3N 1AH
","AMEX, Mastercard, Visa"
403,"
Stecca
",Italian,Casual Dining,+44 20 7460 2322,http://www.stecca.co.uk/,"
14 Hollywood Road, London, SW10 9HY
","AMEX, Mastercard, Visa"
404,"
El Vino Olde Wine Shades
","Tapas / Small Plates, Mediterranean, Winery",Casual Dining,+44 20 7626 6876,https://www.davy.co.uk/wine-bar/the-olde-wine-shades/,"
6 Martin Lane, London, EC4R 0DP
","AMEX, Mastercard, Visa"
405,"
Go Viet
","Vietnamese, Asian, Fusion / Eclectic",Casual Dining,+44 20 7589 6432,http://vietnamfood.co.uk/,"
53 Old Brompton Road, London, SW7 3JS
","AMEX, Mastercard, Visa"
406,"
Artesian Bar
","Bar / Lounge / Bottle Service, Burgers, Tapas / Small Plates",Casual Dining,+44 20 7636 1000,http://www.artesian-bar.co.uk/,"
1C Portland Place, London, W1B 1JA
","AMEX, Mastercard, Visa"
407,"
Hovarda
","Mediterranean, Greek, Turkish",Casual Elegant,+44 20 3019 3460,http://www.hovarda.london/,"
36-40 Rupert Street, London, W1D 6DW
","AMEX, Diners Club, Mastercard, Visa"
408,"
Kimchee Pancras Square
","Contemporary Korean, Asian",Casual Elegant,+44 20 3907 8474,http://kimchee.uk.com/,"
2 Pancras Square Camden, London, N1C 4AG
","AMEX, Mastercard, Visa"
409,"
Tanakatsu
","Japanese, Sushi",Casual Dining,+44 121 389 4111,http://tanakatsu.co.uk/,"
10 Wakley Street, London, EC1V 7LT
","Mastercard, Visa"
410,"
Jazzgir
","Mediterranean, Turkish",Casual Elegant,+44 20 7001 0400,http://www.jazzgir.co.uk/,"
15-16 Harbour Exchange Square, London, E14 9GE
","AMEX, Mastercard, Visa"
411,"
Bordelaise
","French, Steakhouse, Regional French (Southwestern)",Casual Dining,+44 20 8767 5008,http://bordelaise.co.uk/,"
Units 9-11 Broadway Market, London, SW17 0RJ
","Mastercard, Visa"
412,"
Jean-George’s at The Connaught
","Bistro, British, English",Casual Elegant,+44 20 7107 8861,http://www.the-connaught.co.uk/mayfair-restaurants/jean-georges/,"
The Connaught, London, W1K 2AL
","AMEX, Diners Club, Mastercard, Visa"
