,Unnamed: 0,Name,Cusines,Dining_style,Phone number,Website,Payment Options,Address,City,PostCode,website_status,Online_order,online_order
316,444,"
Fifth Floor Bar at Harvey Nichols Knightsbridge
",Modern European,Casual Dining,+44 20 7823 1839,https://www.harveynichols.com/restaurant/knightsbridge-dining/fifth-floor-bar/,"AMEX, Mastercard, Visa","
109-125 Knightsbridge", London," SW1X 7RJ
",True,False,False
317,445,"
Indian Moment – Battersea Rise
","Indian, Contemporary Indian, Halal",Casual Dining,+44 20 7223 6575,http://www.indianmoment.co.uk/,"AMEX, Mastercard, Visa","
44 Battersea Rise", London," SW11 1EE
",True,False,False
318,446,"
Rambla
","Spanish, French, Fusion / Eclectic",Casual Dining,+44 20 7734 8428,http://ramblalondon.com/,"AMEX, Mastercard, Visa","
64 Dean Street", London," W1D 4QQ
",True,False,False
320,448,"
Bread Centrale
","Modern European, Contemporary European, Steak",Casual Dining,+44 20 7978 5055,http://breadcentrale.co.uk/,"Mastercard, Visa","
Unit C Moasses House Plantation Wharf", Cotton Row, London,True,False,False
321,449,"
Zizzi - Westfield
",Italian,Casual Dining,+44 20 8740 3222,http://www.zizzi.co.uk/italian/restaurants/london/shephards-bush,"AMEX, Mastercard, Visa","
South West Mall Westfield White City", London," W12 7GB
",True,False,False
324,453,"
Da Henrietta
","Italian, Contemporary Italian, Regional Italian (Sardinia)",Casual Dining,+44 20 3794 5314,http://www.henriettahotel.com/,"AMEX, Mastercard, Visa","
14-15 Henrietta Street", London," WC2E 8QH
",True,False,False
325,454,"
ASK Italian London - Gloucester Arcade
",Italian,Casual Dining,+44 20 3802 3325,http://www.askitalian.co.uk/restaurant/london-gloucester-arcade/,"Mastercard, Visa","
23 - 24 Gloucester Arcade", London," SW7 4SF
",True,False,False
326,455,"
ASK Italian London Park Street
",Italian,Casual Dining,+44 20 3802 3035,http://www.askitalian.co.uk/restaurant/london-park-street/,"Mastercard, Visa","
121 - 125 Park Street Marylebone", London," W1K 7JA
",True,False,False
327,456,"
ASK Italian London Spice Quay
",Italian,Casual Dining,+44 20 3092 0201,http://www.askitalian.co.uk/restaurant/london-spice-quay/,"Mastercard, Visa","
34 Shad Thames Butlers Wharf", London," SE1 2YG
",True,False,False
328,457,"
ASK Italian London Spring Street
",Italian,Casual Dining,+44 20 3302 0915,http://www.askitalian.co.uk/restaurant/london-spring-street/,"Mastercard, Visa","
41- 43 Spring Street", London," W2 1JA
",True,False,False
329,458,"
ASK Italian Northwood
",Italian,Casual Dining,+44 1923 903747,http://www.askitalian.co.uk/restaurant/northwood/,"Mastercard, Visa","
35A Green Lane Northwood", London," HA6 2PX
",True,False,False
330,459,"
Noizé
","Modern European, French",Casual Dining,+44 20 7323 1310,http://www.noize-restaurant.co.uk/,"AMEX, Mastercard, Visa","
39 Whitfield Street", London," W1T 2SF
",True,False,False
331,460,"
The Great Chase
","British, Farm-to-table",Casual Dining,+44 20 7998 0640,http://www.thegreatchase.co.uk/,"Mastercard, Visa","
316 St. John Street", London," EC1V 4NT
",True,False,False
332,462,"
Yucca
",Tex-Mex,Casual Dining,+44 20 3080 0881,http://www.yucca-fulham.com/,"AMEX, Mastercard, Visa","
496 Fulham Road", London," SW6 5NH
",True,False,False
333,464,"
Vadi restaurant
",Turkish,Casual Dining,+44 20 8882 2228,http://www.vadipalmersgreen.co.uk/,"Mastercard, Visa","
430-434 Green Lanes Palmers Green", London," N13 5XG
",True,False,False
337,468,"
Boxcar Bar & Grill
","Steakhouse, Burgers, Steak",Casual Dining,+44 20 3006 7000,http://www.boxcar.co.uk/,"AMEX, Mastercard, Visa","
23 New Quebec Street", London," W1H 7SD
",True,False,False
339,471,"
Le Merlin
",French,Casual Dining,+44 20 3489 2853,http://www.instagram.com/lemerlin_creperie/,"Mastercard, Visa","
78 Lower Clapton Road", London," E5 0RN
",True,False,False
340,473,"
Parsons
","Fish, Seafood, Modern European",Casual Dining,+44 20 3422 0221,http://www.parsonslondon.co.uk/,"AMEX, Diners Club, Mastercard, Visa","
39 Endell Street", London," WC2H 9BA
",True,False,False
341,474,"
The Natural Kitchen Angel Court
","British, Modern European, Continental",Casual Dining,+44 20 7374 8012,http://www.thenaturalkitchen.com/,"AMEX, Mastercard, Visa","
1A Copthall Avenue", London," EC2R 7BH
",True,False,False
342,475,"
The Natural Kitchen Aldersgate
","British, Modern European, Continental",Casual Dining,+44 20 7600 7156,http://www.naturalkitchen.co.uk/london-aldersgate/,"AMEX, Mastercard, Visa","
176 Aldersgate Street", London," EC1A 4HU
",True,False,False
343,476,"
The Natural Kitchen Trinity Square
","British, Modern European, Continental",Casual Dining,+44 20 7702 4038,https://www.naturalkitchen.co.uk/london-trinity-square/,"AMEX, Mastercard, Visa","
7 Pepys Street", London," EC3N 4AF
",True,False,False
344,477,"
The Natural Kitchen Baker Street
","British, Modern European, Continental",Casual Dining,+44 20 7935 0987,http://www.naturalkitchen.co.uk/london-baker-street/,"AMEX, Mastercard, Visa","
55 Baker Street", London," W1U 8EW
",True,False,False
345,478,"
The Natural Kitchen St Katharine Docks
","Modern European, British, Continental",Casual Dining,+44 20 7481 3308,http://www.naturalkitchen.co.uk/,"AMEX, Mastercard, Visa","
1 Commodity Quay Tower Bridge", London," E1W 1AZ
",True,False,False
346,479,"
Dhaba@49
",Indian,Casual Dining,+44 20 3489 2424,http://dhaba49.com/,"Mastercard, Visa","
49 Chippenham Road", London," W9 2AH
",True,False,False
347,485,"
Bluebird Café White City
","International, British",Casual Dining,+44 20 3940 0700,http://bluebirdcafe.co.uk/,"AMEX, Mastercard, Visa","
Television Centre", London," W12 7FR
",True,False,False
348,487,"
Emilia's Crafted Pasta - St Katharine Docks
",Italian,Casual Dining,+44 20 7481 2004,http://www.emiliaspasta.com/,"Mastercard, Visa","
Unit C3", Ivory House, London,True,False,False
349,488,"
Ezra's Kitchen
",Italian,Casual Dining,+44 20 7481 2004,http://www.emiliaspasta.com/,"AMEX, Mastercard, Visa","
185A High Road", London," N22 6BA
",True,False,False
350,489,"
Firebrand Pizza
",Italian,Casual Dining,+44 20 7724 6764,http://www.firebrandpizza.co.uk/,"Mastercard, Visa","
41-43 Lisson Grove", London," NW1 6UB
",True,False,False
352,495,"
India India
","Indian, Contemporary Indian, Vegetarian",Casual Dining,+44 20 7353 2898,http://www.indiaindiarestaurant.co.uk/,"AMEX, Mastercard, Visa","
8 Crane Court", London," EC4A 2EJ
",True,False,False
353,496,"
Breddos Tacos Soho
","Mexican, Tapas / Small Plates, Cocktail bar",Casual Dining,+44 20 3890 8545,http://www.breddostacos.com/,"AMEX, Mastercard, Visa","
26 Kingly Street", London," W1B 5QD
",True,False,False
354,497,"
P.F. Chang's Asian Table
","Chinese, Japanese, Korean",Casual Dining,+44 20 3410 7500,http://www.pfchangs.co.uk/,"AMEX, Mastercard, Visa","
10 Great Newport Street", London," WC2H 7JA
",True,False,False
355,498,"
Wright Brothers Battersea
","Seafood, British, Meat",Casual Dining,+44 20 7324 7734,https://thewrightbrothers.co.uk/pages/battersea-seafood-restaurant,"AMEX, Mastercard, Visa","
26 Circus West Village Battersea Power Station", London," SW8 4NN
",True,False,False
356,499,"
Arlo's Battersea
","Steak, Vegetarian / Vegan, British",Casual Dining,+44 20 3019 3737,https://www.arlos.co.uk/,"Mastercard, Visa","
47 Northcote Road", London," SW11 1NJ
",True,False,False
